tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
90	MT	Genesis	1	6	BDL[	MBDJL	BDJL	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מבדיל		-	-	0	0	0	0	nnnn	nnnn	last	J	1
187	MT	Genesis	1	11	ZR<[	MZRJ<	ZRJ<	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		-	-	0	0	0	0	nnnn	nnnn	last	J	1
210	MT	Genesis	1	12	ZR<[	MZRJ<	ZRJ<	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		-	-	0	0	0	0	nnnn	nnnn	last	J	1
246	MT	Genesis	1	14	BDL[	HBDJL	BDJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	הבדיל		-	-	0	1	0	0	nnnn	nnnn	last	J	1
339	MT	Genesis	1	18	BDL[	HBDJL	BDJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				WL	nnnnn	nnnnn	הבדיל		-	-	0	1	0	0	nnnn	nnnn	last	J	1
764	MT	Genesis	2	5	MVR[	HMVJR	MVJR	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	המטיר		-	-	0	0	0	0	nnnn	nnnn	last	J	1
1283	MT	Genesis	3	6	FKL[	HFKJL	FKJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	השכיל		-	-	0	1	0	0	nnnn	nnnn	last	J	1
1373	MT	Genesis	3	11	NGD[	HGJD	GJD	CMC	CCMC	hif	perf	sg	m	p3	verb					nnnn	nnnn	הגיד		-	-	0	0	0	0	nnn	nnn	last	J	1
1422	MT	Genesis	3	13	NC>=[	HCJ>NJ	CJ>	CMC	CCMCCM	hif	perf	sg	m	p3	verb	NJ				nnnnnn	nnnnnn	השיאני		-	-	1	0	0	0	nnn	nnn	last	J	1
2056	MT	Genesis	4	23	>ZN[	H>ZNH	>Z	CC	CCCCM	hif	impv	pl	f	p2	verb					nnnnn	nnnnn	האזנה		-	-	0	0	0	0	nn	nn	last		0
2818	MT	Genesis	6	12	CXT[	HCXJT	CXJT	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	השחית		-	-	0	0	0	0	nnnn	nnnn	last	J	1
2846	MT	Genesis	6	13	CXT[	MCXJTM	CXJT	CCMC	CCCMCC	hif	ptca	sg	m	unknown	verb	M				nnnnnn	nnnnnn	משחיתם		-	-	1	0	0	0	nnnn	nnnn	last	J	1
3111	MT	Genesis	7	4	MVR[	MMVJR	MVJR	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	ממטיר		-	-	0	0	0	0	nnnn	nnnn	last	J	1
5697	MT	Genesis	12	11	QRB[	HQRJB	QRJB	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	הקריב		-	-	0	0	0	0	nnnn	nnnn	last	J	1
