	tf_id	book	chapter	verse	lex	lex_hebrew	g_cons	g_cons_hebrew	g_cons_no_suff	suff	vt	vs	gn	nu	ps	verb_ends_on_w	has_suffix	w_in_suffix	has_final_nun
488309	488309	Numbers	18	3	MWT[	מות[	JMWTW	ימותו	JMWTW		impf	-	m	pl	p3	1	0	0	0
488518	488518	Numbers	18	12	NTN[	נתנ[	JTNW	יתנו	JTNW		impf	-	m	pl	p3	1	0	0	0
488529	488529	Numbers	18	13	BW>[	בוא[	JBJ>W	יביאו	JBJ>W		impf	-	m	pl	p3	1	0	0	0
488552	488552	Numbers	18	15	QRB[	קרב[	JQRJBW	יקריבו	JQRJBW		impf	-	m	pl	p3	1	0	0	0
488643	488643	Numbers	18	19	RWM[	רומ[	JRJMW	ירימו	JRJMW		impf	-	m	pl	p3	1	0	0	0
488719	488719	Numbers	18	22	QRB[	קרב[	JQRBW	יקרבו	JQRBW		impf	-	m	pl	p3	1	0	0	0
488742	488742	Numbers	18	23	NF>[	נשׂא[	JF>W	ישׂאו	JF>W		impf	-	m	pl	p3	1	0	0	0
488754	488754	Numbers	18	23	NXL[	נחל[	JNXLW	ינחלו	JNXLW		impf	-	m	pl	p3	1	0	0	0
488762	488762	Numbers	18	24	RWM[	רומ[	JRJMW	ירימו	JRJMW		impf	-	m	pl	p3	1	0	0	0
488780	488780	Numbers	18	24	NXL[	נחל[	JNXLW	ינחלו	JNXLW		impf	-	m	pl	p3	1	0	0	0
488798	488798	Numbers	18	26	LQX[	לקח[	TQXW	תקחו	TQXW		impf	-	m	pl	p2	1	0	0	0
488839	488839	Numbers	18	28	RWM[	רומ[	TRJMW	תרימו	TRJMW		impf	-	m	pl	p2	1	0	0	0
488849	488849	Numbers	18	28	LQX[	לקח[	TQXW	תקחו	TQXW		impf	-	m	pl	p2	1	0	0	0
488867	488867	Numbers	18	29	RWM[	רומ[	TRJMW	תרימו	TRJMW		impf	-	m	pl	p2	1	0	0	0
488917	488917	Numbers	18	32	NF>[	נשׂא[	TF>W	תשׂאו	TF>W		impf	-	m	pl	p2	1	0	0	0
488931	488931	Numbers	18	32	XLL[	חלל[	TXLLW	תחללו	TXLLW		impf	-	m	pl	p2	1	0	0	0
488934	488934	Numbers	18	32	MWT[	מות[	TMWTW	תמותו	TMWTW		impf	-	m	pl	p2	1	0	0	0
488959	488959	Numbers	19	2	LQX[	לקח[	JQXW	יקחו	JQXW		impf	-	m	pl	p3	1	0	0	0
489290	489290	Numbers	19	17	LQX[	לקח[	LQXW	לקחו	LQXW		perf	-	unknown	pl	p3	1	0	0	0
489299	489299	Numbers	19	17	NTN[	נתנ[	NTNW	נתנו	NTNW		perf	-	unknown	pl	p3	1	0	0	0
489451	489451	Numbers	20	1	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
489496	489496	Numbers	20	3	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
489566	489566	Numbers	20	6	NPL[	נפל[	JPLW	יפלו	JPLW		impf	-	m	pl	p3	1	0	0	0
489647	489647	Numbers	20	10	CM<[	שׁמע[	CM<W	שׁמעו	CM<W		impv	-	m	pl	p2	1	0	0	0
489674	489674	Numbers	20	11	JY>[	יצא[	JY>W	יצאו	JY>W		impf	-	m	pl	p3	1	0	0	0
489703	489703	Numbers	20	12	BW>[	בוא[	TBJ>W	תביאו	TBJ>W		impf	-	m	pl	p2	1	0	0	0
489891	489891	Numbers	20	13	JR>[	ירא[	JJR>W	ייראו	JJR>W		impf	-	m	pl	p3	1	0	0	0
489920	489920	Numbers	20	13	CBR[	שׁבר[	TCBRW	תשׁברו	TCBRW		impf	-	m	pl	p2	1	0	0	0
489959	489959	Numbers	20	15	JRD[	ירד[	JRDW	ירדו	JRDW		impf	-	m	pl	p3	1	0	0	0
490041	490041	Numbers	20	19	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
490100	490100	Numbers	20	22	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
490228	490228	Numbers	20	29	R>H[	ראה[	JR>W	יראו	JR>W		impf	-	m	pl	p3	1	0	0	0
490393	490393	Numbers	21	7	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
490664	490664	Numbers	21	18	XPR=[	חפר=[	XPRWH	חפרוה	XPRW	H	perf	-	unknown	pl	p3	1	1	0	0
490712	490712	Numbers	21	20	<BR[	עבר[	<BRW	עברו	<BRW		impv	-	m	pl	p2	1	0	0	0
490753	490753	Numbers	21	20	CM<[	שׁמע[	JCM<W	ישׁמעו	JCM<W		impf	-	m	pl	p3	1	0	0	0
490815	490815	Numbers	21	22	<FH[	עשׂה[	<FW	עשׂו	<FW		perf	-	unknown	pl	p3	1	0	0	0
490894	490894	Numbers	21	24	JRC[	ירשׁ[	JJRCW	יירשׁו	JJRCW		impf	-	m	pl	p3	1	0	0	0
490960	490960	Numbers	21	27	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
491032	491032	Numbers	21	32	LKD[	לכד[	JLKDW	ילכדו	JLKDW		impf	-	m	pl	p3	1	0	0	0
491035	491035	Numbers	21	32	JRC[	ירשׁ[	JWRJCW	יורישׁו	JWRJCW		impf	-	m	pl	p3	1	0	0	0
491044	491044	Numbers	21	33	<LH[	עלה[	J<LW	יעלו	J<LW		impf	-	m	pl	p3	1	0	0	0
491099	491099	Numbers	21	35	NKH[	נכה[	JKW	יכו	JKW		impf	-	m	pl	p3	1	0	0	0
491111	491111	Numbers	21	35	JRC[	ירשׁ[	JJRCW	יירשׁו	JJRCW		impf	-	m	pl	p3	1	0	0	0
491277	491277	Numbers	22	7	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
491400	491400	Numbers	22	14	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
491404	491404	Numbers	22	14	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
491421	491421	Numbers	22	16	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
491425	491425	Numbers	22	16	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
491518	491518	Numbers	22	20	BW>[	בוא[	B>W	באו	B>W		perf	-	unknown	pl	p3	1	0	0	0
492970	492970	Numbers	25	4	HRG[	הרג[	JHRGW	יהרגו	JHRGW		impf	-	m	pl	p3	1	0	0	0
492991	492991	Numbers	25	5	HRG[	הרג[	HRGW	הרגו	HRGW		impv	-	m	pl	p2	1	0	0	0
493251	493251	Numbers	26	2	NF>[	נשׂא[	F>W	שׂאו	F>W		impv	-	m	pl	p2	1	0	0	0
493415	493415	Numbers	26	11	MWT[	מות[	MTW	מתו	MTW		perf	-	unknown	pl	p3	1	0	0	0
493990	493990	Numbers	26	55	NXL[	נחל[	JTNXLW	יתנחלו	JTNXLW		impf	-	m	pl	p3	1	0	0	0
494120	494120	Numbers	26	62	PQD[	פקד[	HTPQDW	התפקדו	HTPQDW		perf	-	unknown	pl	p3	1	0	0	0
494142	494142	Numbers	26	63	PQD[	פקד[	PQDW	פקדו	PQDW		perf	-	unknown	pl	p3	1	0	0	0
494166	494166	Numbers	26	64	PQD[	פקד[	PQDW	פקדו	PQDW		perf	-	unknown	pl	p3	1	0	0	0
494178	494178	Numbers	26	65	MWT[	מות[	JMWTW	ימותו	JMWTW		impf	-	m	pl	p3	1	0	0	0
494288	494288	Numbers	27	4	NTN[	נתנ[	TNW	תנו	TNW		impv	-	m	pl	p2	1	0	0	0
494561	494561	Numbers	27	20	CM<[	שׁמע[	JCM<WN	ישׁמעון	JCM<W		impf	-	m	pl	p3	1	0	0	1
494709	494709	Numbers	28	3	QRB[	קרב[	TQRJBW	תקריבו	TQRJBW		impf	-	m	pl	p2	1	0	0	0
494838	494838	Numbers	28	11	QRB[	קרב[	TQRJBW	תקריבו	TQRJBW		impf	-	m	pl	p2	1	0	0	0
494943	494943	Numbers	28	15	<FH[	עשׂה[	J<FW	יעשׂו	J<FW		impf	-	m	pl	p3	1	0	0	0
494972	494972	Numbers	28	17	>KL[	אכל[	T>KLW	תאכלו	T>KLW		impf	-	m	pl	p2	1	0	0	0
494983	494983	Numbers	28	18	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495020	495020	Numbers	28	20	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495052	495052	Numbers	28	23	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495059	495059	Numbers	28	24	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495074	495074	Numbers	28	24	<FH[	עשׂה[	J<FW	יעשׂו	J<FW		impf	-	m	pl	p3	1	0	0	0
495090	495090	Numbers	28	25	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495111	495111	Numbers	28	26	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495181	495181	Numbers	28	31	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495204	495204	Numbers	29	1	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495308	495308	Numbers	29	7	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495396	495396	Numbers	29	12	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495777	495777	Numbers	29	35	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
495827	495827	Numbers	29	39	<FH[	עשׂה[	T<FW	תעשׂו	T<FW		impf	-	m	pl	p2	1	0	0	0
496235	496235	Numbers	31	4	CLX[	שׁלח[	TCLXW	תשׁלחו	TCLXW		impf	-	m	pl	p2	1	0	0	0
496291	496291	Numbers	31	7	HRG[	הרג[	JHRGW	יהרגו	JHRGW		impf	-	m	pl	p3	1	0	0	0
496298	496298	Numbers	31	8	HRG[	הרג[	HRGW	הרגו	HRGW		perf	-	unknown	pl	p3	1	0	0	0
496323	496323	Numbers	31	8	HRG[	הרג[	HRGW	הרגו	HRGW		perf	-	unknown	pl	p3	1	0	0	0
496327	496327	Numbers	31	9	CBH[	שׁבה[	JCBW	ישׁבו	JCBW		impf	-	m	pl	p3	1	0	0	0
496348	496348	Numbers	31	9	BZZ[	בזז[	BZZW	בזזו	BZZW		perf	-	unknown	pl	p3	1	0	0	0
496359	496359	Numbers	31	10	FRP[	שׂרפ[	FRPW	שׂרפו	FRPW		perf	-	unknown	pl	p3	1	0	0	0
496363	496363	Numbers	31	11	LQX[	לקח[	JQXW	יקחו	JQXW		impf	-	m	pl	p3	1	0	0	0
496379	496379	Numbers	31	12	BW>[	בוא[	JBJ>W	יביאו	JBJ>W		impf	-	m	pl	p3	1	0	0	0
496488	496488	Numbers	31	17	HRG[	הרג[	HRGW	הרגו	HRGW		impv	-	m	pl	p2	1	0	0	0
496501	496501	Numbers	31	17	HRG[	הרג[	HRGW	הרגו	HRGW		impv	-	m	pl	p2	1	0	0	0
496510	496510	Numbers	31	18	JD<[	ידע[	JD<W	ידעו	JD<W		perf	-	unknown	pl	p3	1	0	0	0
496513	496513	Numbers	31	18	XJH[	חיה[	XJW	חיו	XJW		perf	-	unknown	pl	p3	1	0	0	0
496616	496616	Numbers	31	20	<BR[	עבר[	T<BJRW	תעבירו	T<BJRW		impf	-	m	pl	p2	1	0	0	0
496633	496633	Numbers	31	20	<BR[	עבר[	T<BJRW	תעבירו	T<BJRW		impf	-	m	pl	p2	1	0	0	0
496647	496647	Numbers	31	20	BW>[	בוא[	TB>W	תבאו	TB>W		impf	-	m	pl	p2	1	0	0	0
496703	496703	Numbers	31	23	<BR[	עבר[	T<BJRW	תעבירו	T<BJRW		impf	-	m	pl	p2	1	0	0	0
496720	496720	Numbers	31	23	<BR[	עבר[	T<BJRW	תעבירו	T<BJRW		impf	-	m	pl	p2	1	0	0	0
496734	496734	Numbers	31	24	BW>[	בוא[	TB>W	תבאו	TB>W		impf	-	m	pl	p2	1	0	0	0
496895	496895	Numbers	31	32	BZZ[	בזז[	BZZW	בזזו	BZZW		perf	-	unknown	pl	p3	1	0	0	0
496929	496929	Numbers	31	35	JD<[	ידע[	JD<W	ידעו	JD<W		perf	-	unknown	pl	p3	1	0	0	0
497123	497123	Numbers	31	48	QRB[	קרב[	JQRBW	יקרבו	JQRBW		impf	-	m	pl	p3	1	0	0	0
497141	497141	Numbers	31	49	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
497145	497145	Numbers	31	49	NF>[	נשׂא[	NF>W	נשׂאו	NF>W		perf	-	unknown	pl	p3	1	0	0	0
497204	497204	Numbers	31	52	RWM[	רומ[	HRJMW	הרימו	HRJMW		perf	-	unknown	pl	p3	1	0	0	0
497230	497230	Numbers	31	53	BZZ[	בזז[	BZZW	בזזו	BZZW		perf	-	unknown	pl	p3	1	0	0	0
497252	497252	Numbers	31	54	BW>[	בוא[	JBJ>W	יביאו	JBJ>W		impf	-	m	pl	p3	1	0	0	0
497284	497284	Numbers	32	1	R>H[	ראה[	JR>W	יראו	JR>W		impf	-	m	pl	p3	1	0	0	0
497299	497299	Numbers	32	2	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
497311	497311	Numbers	32	2	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
497360	497360	Numbers	32	5	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
497400	497400	Numbers	32	6	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
497424	497424	Numbers	32	8	<FH[	עשׂה[	<FW	עשׂו	<FW		perf	-	unknown	pl	p3	1	0	0	0
497437	497437	Numbers	32	9	<LH[	עלה[	J<LW	יעלו	J<LW		impf	-	m	pl	p3	1	0	0	0
497442	497442	Numbers	32	9	R>H[	ראה[	JR>W	יראו	JR>W		impf	-	m	pl	p3	1	0	0	0
497475	497475	Numbers	32	11	R>H[	ראה[	JR>W	יראו	JR>W		impf	-	m	pl	p3	1	0	0	0
497502	497502	Numbers	32	11	ML>[	מלא[	ML>W	מלאו	ML>W		perf	-	unknown	pl	p3	1	0	0	0
497515	497515	Numbers	32	12	ML>[	מלא[	ML>W	מלאו	ML>W		perf	-	unknown	pl	p3	1	0	0	0
497560	497560	Numbers	32	15	CWB[	שׁוב[	TCWBWN	תשׁובון	TCWBW		impf	-	m	pl	p2	1	0	0	1
497582	497582	Numbers	32	16	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
497624	497624	Numbers	32	18	NXL[	נחל[	HTNXLW	התנחלו	HTNXLW		perf	-	unknown	pl	p3	1	0	0	0
497654	497654	Numbers	32	20	<FH[	עשׂה[	T<FWN	תעשׂון	T<FW		impf	-	m	pl	p2	1	0	0	1
497694	497694	Numbers	32	22	CWB[	שׁוב[	TCWBWN	תשׁובון	TCWBW		impf	-	m	pl	p2	1	0	0	1
497718	497718	Numbers	32	23	<FH[	עשׂה[	T<FWN	תעשׂון	T<FW		impf	-	m	pl	p2	1	0	0	1
497725	497725	Numbers	32	23	JD<[	ידע[	D<W	דעו	D<W		impv	-	m	pl	p2	1	0	0	0
497730	497730	Numbers	32	24	BNH[	בנה[	BNW	בנו	BNW		impv	-	m	pl	p2	1	0	0	0
497744	497744	Numbers	32	24	<FH[	עשׂה[	T<FWN	תעשׂון	T<FW		impf	-	m	pl	p2	1	0	0	1
497746	497746	Numbers	32	25	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
497762	497762	Numbers	32	25	<FH[	עשׂה[	J<FW	יעשׂו	J<FW		impf	-	m	pl	p3	1	0	0	0
497783	497783	Numbers	32	27	<BR[	עבר[	J<BRW	יעברו	J<BRW		impf	-	m	pl	p3	1	0	0	0
497823	497823	Numbers	32	29	<BR[	עבר[	J<BRW	יעברו	J<BRW		impf	-	m	pl	p3	1	0	0	0
497863	497863	Numbers	32	30	<BR[	עבר[	J<BRW	יעברו	J<BRW		impf	-	m	pl	p3	1	0	0	0
497867	497867	Numbers	32	30	>XZ[	אחז[	N>XZW	נאחזו	N>XZW		perf	-	unknown	pl	p3	1	0	0	0
497874	497874	Numbers	32	31	<NH[	ענה[	J<NW	יענו	J<NW		impf	-	m	pl	p3	1	0	0	0
497953	497953	Numbers	32	34	BNH[	בנה[	JBNW	יבנו	JBNW		impf	-	m	pl	p3	1	0	0	0
497986	497986	Numbers	32	37	BNH[	בנה[	BNW	בנו	BNW		perf	-	unknown	pl	p3	1	0	0	0
498007	498007	Numbers	32	38	QR>[	קרא[	JQR>W	יקראו	JQR>W		impf	-	m	pl	p3	1	0	0	0
498015	498015	Numbers	32	38	BNH[	בנה[	BNW	בנו	BNW		perf	-	unknown	pl	p3	1	0	0	0
498024	498024	Numbers	32	39	LKD[	לכד[	JLKDWH	ילכדוה	JLKDW	H	impf	-	m	pl	p3	1	1	0	0
498026	498026	Numbers	32	39	JRC[	ירשׁ[	JWRJCW	יורישׁו	JWRJCW		impf	-	m	pl	p3	1	0	0	0
498080	498080	Numbers	33	1	JY>[	יצא[	JY>W	יצאו	JY>W		perf	-	unknown	pl	p3	1	0	0	0
498126	498126	Numbers	33	3	JY>[	יצא[	JY>W	יצאו	JY>W		perf	-	unknown	pl	p3	1	0	0	0
498179	498179	Numbers	33	7	CWB[	שׁוב[	JCBW	ישׁבו	JCBW		impf	-	m	pl	p3	1	0	0	0
498197	498197	Numbers	33	8	<BR[	עבר[	J<BRW	יעברו	J<BRW		impf	-	m	pl	p3	1	0	0	0
498221	498221	Numbers	33	9	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
498699	498699	Numbers	33	52	CMD[	שׁמד[	TCMJDW	תשׁמידו	TCMJDW		impf	-	m	pl	p2	1	0	0	0
498749	498749	Numbers	33	54	NXL[	נחל[	TTNXLW	תתנחלו	TTNXLW		impf	-	m	pl	p2	1	0	0	0
498753	498753	Numbers	33	55	JRC[	ירשׁ[	TWRJCW	תורישׁו	TWRJCW		impf	-	m	pl	p2	1	0	0	0
498775	498775	Numbers	33	55	YRR=[	צרר=[	YRRW	צררו	YRRW		perf	-	unknown	pl	p3	1	0	0	0
499011	499011	Numbers	34	13	NXL[	נחל[	TTNXLW	תתנחלו	TTNXLW		impf	-	m	pl	p2	1	0	0	0
499029	499029	Numbers	34	14	LQX[	לקח[	LQXW	לקחו	LQXW		perf	-	unknown	pl	p3	1	0	0	0
499049	499049	Numbers	34	14	LQX[	לקח[	LQXW	לקחו	LQXW		perf	-	unknown	pl	p3	1	0	0	0
499058	499058	Numbers	34	15	LQX[	לקח[	LQXW	לקחו	LQXW		perf	-	unknown	pl	p3	1	0	0	0
499079	499079	Numbers	34	17	NXL[	נחל[	JNXLW	ינחלו	JNXLW		impf	-	m	pl	p3	1	0	0	0
499098	499098	Numbers	34	18	LQX[	לקח[	TQXW	תקחו	TQXW		impf	-	m	pl	p2	1	0	0	0
499222	499222	Numbers	35	2	NTN[	נתנ[	NTNW	נתנו	NTNW		perf	-	unknown	pl	p3	1	0	0	0
499236	499236	Numbers	35	2	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499263	499263	Numbers	35	4	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499324	499324	Numbers	35	6	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499333	499333	Numbers	35	6	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499341	499341	Numbers	35	6	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499350	499350	Numbers	35	7	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499365	499365	Numbers	35	8	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499458	499458	Numbers	35	13	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499468	499468	Numbers	35	14	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499478	499478	Numbers	35	14	NTN[	נתנ[	TTNW	תתנו	TTNW		impf	-	m	pl	p2	1	0	0	0
499651	499651	Numbers	35	24	CPV[	שׁפט[	CPVW	שׁפטו	CPVW		perf	-	unknown	pl	p3	1	0	0	0
499668	499668	Numbers	35	25	NYL[	נצל[	HYJLW	הצילו	HYJLW		perf	-	unknown	pl	p3	1	0	0	0
499680	499680	Numbers	35	25	CWB[	שׁוב[	HCJBW	השׁיבו	HCJBW		perf	-	unknown	pl	p3	1	0	0	0
499799	499799	Numbers	35	31	LQX[	לקח[	TQXW	תקחו	TQXW		impf	-	m	pl	p2	1	0	0	0
499814	499814	Numbers	35	32	LQX[	לקח[	TQXW	תקחו	TQXW		impf	-	m	pl	p2	1	0	0	0
499868	499868	Numbers	35	34	VM>[	טמא[	TVM>W	תטמאו	TVM>W		impf	-	m	pl	p2	1	0	0	0
499890	499890	Numbers	36	1	QRB[	קרב[	JQRBW	יקרבו	JQRBW		impf	-	m	pl	p3	1	0	0	0
499923	499923	Numbers	36	2	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
500068	500068	Numbers	36	7	DBQ[	דבק[	JDBQW	ידבקו	JDBQW		impf	-	m	pl	p3	1	0	0	0
500090	500090	Numbers	36	8	JRC[	ירשׁ[	JJRCW	יירשׁו	JJRCW		impf	-	m	pl	p3	1	0	0	0
500110	500110	Numbers	36	9	DBQ[	דבק[	JDBQW	ידבקו	JDBQW		impf	-	m	pl	p3	1	0	0	0
500121	500121	Numbers	36	10	<FH[	עשׂה[	<FW	עשׂו	<FW		perf	-	unknown	pl	p3	1	0	0	0
500302	500302	Deuteronomy	1	7	BW>[	בוא[	B>W	באו	B>W		impv	-	m	pl	p2	1	0	0	0
500337	500337	Deuteronomy	1	8	R>H[	ראה[	R>W	ראו	R>W		perf	-	unknown	pl	p3	1	0	0	0
500344	500344	Deuteronomy	1	8	BW>[	בוא[	B>W	באו	B>W		impv	-	m	pl	p2	1	0	0	0
500346	500346	Deuteronomy	1	8	JRC[	ירשׁ[	RCW	רשׁו	RCW		impv	-	m	pl	p2	1	0	0	0
500433	500433	Deuteronomy	1	14	<NH[	ענה[	T<NW	תענו	T<NW		impf	-	m	pl	p2	1	0	0	0
500436	500436	Deuteronomy	1	14	>MR[	אמר[	T>MRW	תאמרו	T>MRW		impf	-	m	pl	p2	1	0	0	0
500482	500482	Deuteronomy	1	16	CM<[	שׁמע[	CM<W	שׁמעו	CM<W		impv	-	m	pl	p2	1	0	0	0
500497	500497	Deuteronomy	1	17	NKR[	נכר[	TKJRW	תכירו	TKJRW		impf	-	m	pl	p2	1	0	0	0
500505	500505	Deuteronomy	1	17	CM<[	שׁמע[	TCM<WN	תשׁמעון	TCM<W		impf	-	m	pl	p2	1	0	0	1
500523	500523	Deuteronomy	1	17	QRB[	קרב[	TQRJBWN	תקריבון	TQRJBW		impf	-	m	pl	p2	1	0	0	1
500539	500539	Deuteronomy	1	18	<FH[	עשׂה[	T<FWN	תעשׂון	T<FW		impf	-	m	pl	p2	1	0	0	1
500610	500610	Deuteronomy	1	22	QRB[	קרב[	TQRBWN	תקרבון	TQRBW		impf	-	m	pl	p2	1	0	0	1
500614	500614	Deuteronomy	1	22	>MR[	אמר[	T>MRW	תאמרו	T>MRW		impf	-	m	pl	p2	1	0	0	0
500626	500626	Deuteronomy	1	22	CWB[	שׁוב[	JCJBW	ישׁיבו	JCJBW		impf	-	m	pl	p3	1	0	0	0
500661	500661	Deuteronomy	1	24	<LH[	עלה[	J<LW	יעלו	J<LW		impf	-	m	pl	p3	1	0	0	0
500665	500665	Deuteronomy	1	24	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
500673	500673	Deuteronomy	1	25	LQX[	לקח[	JQXW	יקחו	JQXW		impf	-	m	pl	p3	1	0	0	0
500681	500681	Deuteronomy	1	25	JRD[	ירד[	JWRJDW	יורידו	JWRJDW		impf	-	m	pl	p3	1	0	0	0
500684	500684	Deuteronomy	1	25	CWB[	שׁוב[	JCJBW	ישׁיבו	JCJBW		impf	-	m	pl	p3	1	0	0	0
500688	500688	Deuteronomy	1	25	>MR[	אמר[	J>MRW	יאמרו	J>MRW		impf	-	m	pl	p3	1	0	0	0
500703	500703	Deuteronomy	1	26	MRH[	מרה[	TMRW	תמרו	TMRW		impf	-	m	pl	p2	1	0	0	0
500713	500713	Deuteronomy	1	27	>MR[	אמר[	T>MRW	תאמרו	T>MRW		impf	-	m	pl	p2	1	0	0	0
500765	500765	Deuteronomy	1	29	JR>[	ירא[	TJR>WN	תיראון	TJR>W		impf	-	m	pl	p2	1	0	0	1
500946	500946	Deuteronomy	1	39	BW>[	בוא[	JB>W	יבאו	JB>W		impf	-	m	pl	p3	1	0	0	0
500953	500953	Deuteronomy	1	39	JRC[	ירשׁ[	JJRCWH	יירשׁוה	JJRCW	H	impf	-	m	pl	p3	1	1	0	0
500966	500966	Deuteronomy	1	41	<NH[	ענה[	T<NW	תענו	T<NW		impf	-	m	pl	p2	1	0	0	0
500968	500968	Deuteronomy	1	41	>MR[	אמר[	T>MRW	תאמרו	T>MRW		impf	-	m	pl	p2	1	0	0	0
501003	501003	Deuteronomy	1	42	<LH[	עלה[	T<LW	תעלו	T<LW		impf	-	m	pl	p2	1	0	0	0
501024	501024	Deuteronomy	1	43	MRH[	מרה[	TMRW	תמרו	TMRW		impf	-	m	pl	p2	1	0	0	0
501032	501032	Deuteronomy	1	43	<LH[	עלה[	T<LW	תעלו	T<LW		impf	-	m	pl	p2	1	0	0	0
501051	501051	Deuteronomy	1	44	RDP[	רדפ[	JRDPW	ירדפו	JRDPW		impf	-	m	pl	p3	1	0	0	0
501066	501066	Deuteronomy	1	45	CWB[	שׁוב[	TCBW	תשׁבו	TCBW		impf	-	m	pl	p2	1	0	0	0
501149	501149	Deuteronomy	2	4	JR>[	ירא[	JJR>W	ייראו	JJR>W		impf	-	m	pl	p3	1	0	0	0
501338	501338	Deuteronomy	2	11	QR>[	קרא[	JQR>W	יקראו	JQR>W		impf	-	m	pl	p3	1	0	0	0
501352	501352	Deuteronomy	2	12	JRC[	ירשׁ[	JJRCWM	יירשׁום	JJRCW	M	impf	-	m	pl	p3	1	1	0	0
501359	501359	Deuteronomy	2	12	JRC[	ירשׁ[	JJRCWM	יירשׁום	JJRCW	M	impf	-	m	pl	p3	1	1	0	0
501379	501379	Deuteronomy	2	13	<BR[	עבר[	<BRW	עברו	<BRW		impv	-	m	pl	p2	1	0	0	0
501506	501506	Deuteronomy	2	20	QR>[	קרא[	JQR>W	יקראו	JQR>W		impf	-	m	pl	p3	1	0	0	0
501523	501523	Deuteronomy	2	21	JRC[	ירשׁ[	JJRCWM	יירשׁום	JJRCW	M	impf	-	m	pl	p3	1	1	0	0
501545	501545	Deuteronomy	2	22	JRC[	ירשׁ[	JJRCWM	יירשׁום	JJRCW	M	impf	-	m	pl	p3	1	1	0	0
