tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
1917563	1Qisaa	Isaiah	63	12	BQ<[	BWQ<	BWQ<			qal	ptca	sg	m	NA	verb					nnnn	nnnn	בוקע
1916653	1Qisaa	Isaiah	60	11	NHG[	NHWGJM	NHWG			qal	ptcp	pl	m	NA	verb		JM			nnnnnn	nnnnnn	נהוגים
1908156	1Qisaa	Isaiah	37	27	JCB[	JWCBJHNH	JWCB			qal	ptca	pl	m	NA	verb	HNH	J		W	nnnnnnnn	nnnnnnnn	יושביהנה
1900059	1Qisaa	Isaiah	14	16	R>H[	RW>JK	RW>			qal	ptca	pl	m	NA	verb	K	J			nnnnn	nnnnn	רואיך
1902926	1Qisaa	Isaiah	24	9	CTH[	CWTJW	C			qal	ptca	pl	m	NA	verb	W	WTJ		L	nnnnn	nnnnn	שותיו
1918775	1Qisaa	Isaiah	66	19	MCK[	MCWK	MCWK			qal	ptcp	sg	m	NA	verb					nnnn	nnnn	משוך
1903424	1Qisaa	Isaiah	26	2	CMR[	CWMR	CWMR			qal	ptca	sg	m	NA	verb					nnnn	nnnn	שומר
1906420	1Qisaa	Isaiah	33	18	SPR[	SPR	SPR			qal	ptca	sg	m	NA	verb					nnn	nnn	ספר
1906422	1Qisaa	Isaiah	33	18	CQL[	CQL	CQL			qal	ptca	sg	m	NA	verb					nnn	nnn	שקל
1906424	1Qisaa	Isaiah	33	18	SPR[	SPR	SPR			qal	ptca	sg	m	NA	verb					nnn	nnn	ספר
1913662	1Qisaa	Isaiah	51	6	JCB[	JWCBJH	JWCB			qal	ptca	pl	m	NA	verb	H	J		W	nnnnnn	nnnnnn	יושביה
1900415	1Qisaa	Isaiah	15	4	XLY[	XLYJ	XLY			qal	ptcp	pl	m	NA	verb		J			nnnn	nnnn	חלצי
1916720	1Qisaa	Isaiah	60	15	<ZB[	<ZWBH	<ZWBH			qal	ptcp	sg	f	NA	verb					nnnnn	nnnnn	עזובה
1916722	1Qisaa	Isaiah	60	15	FN>[	FNW>H	FNW>H			qal	ptcp	sg	f	NA	verb				W	nnnnn	nnnnn	שנואה
1916725	1Qisaa	Isaiah	60	15	<BR[	<WBR	<WBR			qal	ptca	sg	m	NA	verb					nnnn	nnnn	עובר
1914762	1Qisaa	Isaiah	54	13	BNH[	BWNJKJ	BWN			qal	ptca	pl	m	NA	verb	KJ	J			nnnnnn	nnnnnn	בוניכי
1913119	1Qisaa	Isaiah	49	17	BNH[	BWNJK	BWN			qal	ptca	pl	m	NA	verb	K	J			nnnnn	nnnnn	בוניך
1901982	1Qisaa	Isaiah	21	12	CMR[	CWMR	CWMR			qal	ptca	sg	m	NA	verb					nnnn	nnnn	שומר
1906490	1Qisaa	Isaiah	33	22	CPV[	CWPVNW	CWPV			qal	ptca	sg	m	NA	verb	NW				nnnnnn	nnnnnn	שופטנו
1913755	1Qisaa	Isaiah	51	10	G>L[	G>WLJM	G>WL			qal	ptcp	pl	m	NA	verb		JM			nnnnnn	nnnnnn	גאולים
1911592	1Qisaa	Isaiah	45	8	>MR[	>MR	>MR			qal	ptca	sg		NA	verb				H	nnn	nnn	אמר
1895590	1Qisaa	Isaiah	2	14	RWM[	RWMJM	RWM			qal	ptca	pl	m	NA	verb		JM		H	rrrnn	nnnnn	רומים
1903037	1Qisaa	Isaiah	24	17	JCB[	JWCB	JWCB			qal	ptca	sg	m	NA	verb					nnnn	nnnn	יושב
1918220	1Qisaa	Isaiah	65	18	BR>[	BWR>	BWR>			qal	ptca	sg	m	NA	verb					nnnn	nnnn	בורא
1918223	1Qisaa	Isaiah	65	18	BR>[	BWR>	BWR>			qal	ptca	sg	m	NA	verb					nnnn	nnnn	בורא
1910091	1Qisaa	Isaiah	42	5	BR>[	BWRH	BWRH			qal	ptca	sg	m	NA	verb					nnnn	nnnn	בורה
1910095	1Qisaa	Isaiah	42	5	NVH[	NWVJHMH	NWV			qal	ptca	pl	m	NA	verb	HMH	J		W	nnnnnnn	nnnnnnn	נוטיהמה
1910096	1Qisaa	Isaiah	42	5	RQ<[	RWQ<	RWQ<			qal	ptca	sg	m	NA	verb					nnnn	nnnn	רוקע
1910101	1Qisaa	Isaiah	42	5	NTN[	NWTN	NWTN			qal	ptca	sg	m	NA	verb					nnnn	nnnn	נותן
1910109	1Qisaa	Isaiah	42	5	HLK[	HWLKJM	HWLK			qal	ptca	pl	m	NA	verb		JM		L	nnnnnn	nnnnnn	הולכים
1913195	1Qisaa	Isaiah	49	21	GLH[	GWLH	GWLH			qal	ptca	sg	f	NA	verb				W	nnnn	nnnn	גולה
1911428	1Qisaa	Isaiah	44	27	>MR[	>WMR	>WMR			qal	ptca	sg	m	NA	verb				H	nnnn	nnnn	אומר
1918425	1Qisaa	Isaiah	66	3	CXV[	CWXV	CWXV			qal	ptca	sg	m	NA	verb					nnnn	nnnn	שוחט
1918431	1Qisaa	Isaiah	66	3	ZBX[	ZWBX	ZWBX			qal	ptca	sg	m	NA	verb					nnnn	nnnn	זובח
1918434	1Qisaa	Isaiah	66	3	<RP=[	<WRP	<WRP			qal	ptca	sg	m	NA	verb					nnnn	nnnn	עורף
1917060	1Qisaa	Isaiah	61	9	R>H[	RW>JHMH	RW>			qal	ptca	pl	m	NA	verb	HMH	J			nnnnnnn	nnnnnnn	רואיהמה
1895764	1Qisaa	Isaiah	3	2	CPV[	CWPV	CWPV			qal	ptca	sg	m	NA	verb					nnnn	nnnn	שופט
1895768	1Qisaa	Isaiah	3	2	QSM[	QWSM	QWSM			qal	ptca	sg	m	NA	verb				W	nnnn	nnnn	קוסם
1910759	1Qisaa	Isaiah	43	19	<FH[	<WFH	<WFH			qal	ptca	sg	m	NA	verb					nnnn	nnnn	עושה
1915865	1Qisaa	Isaiah	58	6	RYY[	RYWYJM	RYWY			qal	ptcp	pl	m	NA	verb		JM			nnnnnn	nnnnnn	רצוצים
1899908	1Qisaa	Isaiah	14	4	NGF[	NWGF	NWGF			qal	ptca	sg	m	NA	verb					nnnn	nnnn	נוגש
1909365	1Qisaa	Isaiah	40	22	JCB[	JWCB	JWCB			qal	ptca	sg	m	NA	verb				H	nnnn	nnnn	יושב
1909371	1Qisaa	Isaiah	40	22	JCB[	JWCBJH>	JWCB			qal	ptca	pl	m	NA	verb	H>	J		W	nnnnnnn	nnnnnnn	יושביהא
1909375	1Qisaa	Isaiah	40	22	NVH[	NWVH	NWVH			qal	ptca	sg	m	NA	verb				H	nnnn	nnnn	נוטה
1899956	1Qisaa	Isaiah	14	8	KRT[	KWRT	KWRT			qal	ptca	sg	m	NA	verb				H	nnnn	nnnn	כורת
1898298	1Qisaa	Isaiah	9	14	NF>[	NF>	NF>			qal	ptcp	sg	m	NA	verb				W	nnn	nnn	נשא
1902795	1Qisaa	Isaiah	24	1	BQQ[	BWQQ	BWQQ			qal	ptca	sg	m	NA	verb					nnnn	nnnn	בוקק
1902799	1Qisaa	Isaiah	24	1	BLQ[	BWLQH	BWLQ			qal	ptca	sg	m	NA	verb	H			W	nnnnn	nnnnn	בולקה
1902805	1Qisaa	Isaiah	24	1	JCB[	JWCBJH	JWCB			qal	ptca	pl	m	NA	verb	H	J			nnnnnn	nnnnnn	יושביה
1914555	1Qisaa	Isaiah	54	1	CMM[	CWMMH	CWMMH			qal	ptca	sg	f	NA	verb					nnnnn	nnnnn	שוממה
1914558	1Qisaa	Isaiah	54	1	B<L[	B<WLH	B<WLH			qal	ptcp	sg	f	NA	verb					nnnnn	nnnnn	בעולה
1912882	1Qisaa	Isaiah	49	5	JYR[	JWYRK	JWYR			qal	ptca	sg	m	NA	verb	K				nnnnn	nnnnn	יוצרך
1911080	1Qisaa	Isaiah	44	11	XBR[	XWBRJW	XWBR			qal	ptca	pl	m	NA	verb	W	J			nnnnnn	nnnnnn	חובריו
1897041	1Qisaa	Isaiah	6	11	JCB[	JWCB	JWCB			qal	ptca	sg	m	NA	verb					nnnn	nnnn	יושב
1896299	1Qisaa	Isaiah	5	3	JCB[	JWCBJ	JWCB			qal	ptca	pl	m	NA	verb		J			nnnnn	nnnnn	יושבי
1906909	1Qisaa	Isaiah	35	3	KCL[	KWCLWT	KWCL			qal	ptca	pl	f	NA	verb		WT			nnnnnn	nnnnnn	כושלות
1902870	1Qisaa	Isaiah	24	5	JCB[	JWCBJH	JWCB			qal	ptca	pl	m	NA	verb	H	J			nnnnnn	nnnnnn	יושביה
1917957	1Qisaa	Isaiah	65	6	KTB[	KTWBH	KTWBH			qal	ptcp	sg	f	NA	verb					nnnnn	nnnnn	כתובה
1901357	1Qisaa	Isaiah	19	11	J<Y[	JW<YJ	JW<Y			qal	ptca	pl	m	NA	verb		J			nnnnn	nnnnn	יועצי
1914615	1Qisaa	Isaiah	54	5	B<L[	B<LKJ	B<L			qal	ptca	sg	m	NA	verb	KJ				nnnnn	nnnnn	בעלכי
1914616	1Qisaa	Isaiah	54	5	<FH[	<WFJK	<WFJ			qal	ptca	sg	m	NA	verb	K				nnnnn	nnnnn	עושיך
1914621	1Qisaa	Isaiah	54	5	G>L[	GW>LKJ	GW>L			qal	ptca	sg	m	NA	verb	KJ			W	nnnnnn	nnnnnn	גואלכי
1903777	1Qisaa	Isaiah	27	6	BW>[	B>JM	B>			qal	ptca	pl	m	NA	verb		JM		H	nnnn	nnnn	באים
1914226	1Qisaa	Isaiah	52	12	HLK[	HWLK	HWLK			qal	ptca	sg	m	NA	verb					nnnn	nnnn	הולך
1901851	1Qisaa	Isaiah	21	4	T<H[	TW<H	TW<H			qal	ptca	sg	m	NA	verb					nnnn	nnnn	תועה
1912060	1Qisaa	Isaiah	46	8	PC<[	PWC<JM	PWC<			qal	ptca	pl	m	NA	verb		JM			nnnnnn	nnnnnn	פושעים
1909753	1Qisaa	Isaiah	41	14	G>L[	GW>LKH	GW>L			qal	ptca	sg	m	NA	verb	KH			W	nnnnnn	nnnnnn	גואלכה
1909098	1Qisaa	Isaiah	40	6	>MR[	>WMR	>WMR			qal	ptca	sg	m	NA	verb					nnnn	nnnn	אומר
1902344	1Qisaa	Isaiah	22	16	XYB[	XYBJ	XYBJ			qal	ptca	sg	m	NA	verb					nnnn	nnnn	חצבי
1902347	1Qisaa	Isaiah	22	16	XQQ[	XWQQJ	XWQQJ			qal	ptca	sg	m	NA	verb					nnnnn	nnnnn	חוקקי
