tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2037584	4Q77	Zephaniah	1	2	>SP[	>SP	>SP			qal	infa	NA		NA	verb					nnn	nnn	אסף
2037972	4Q78	Hosea	4	2	>LH[	>LWH	>LWH			qal	infa	NA		NA	verb					nrrr	nnnn	אלוה
2037976	4Q78	Hosea	4	2	RYX[	RYX	RYX			qal	infa	NA		NA	verb				W	rrr	nnn	רצח
2037978	4Q78	Hosea	4	2	GNB[	GNB	GNB			qal	infa	NA		NA	verb				W	rrr	nnn	גנב
2037980	4Q78	Hosea	4	2	N>P[	N>P	N>P			qal	infa	NA		NA	verb				W	rrr	nnn	נאף
2039510	4Q78	Amos	3	5	LKD[	LKWD	LKWD			qal	infa	NA		NA	verb				W	nnnn	nnnn	לכוד
2040277	4Q79	Hosea	1	6	NF>[	NF>	NF>			qal	infa	NA		NA	verb					rrr	nnn	נשא
2042685	4Q82	Hosea	10	4	>LH[	>LWT	>LWT			qal	infa	NA		NA	verb					rrrr	nnnn	אלות
2042687	4Q82	Hosea	10	4	KRT[	KRT	KRT			qal	infa	NA		NA	verb					rrr	nnn	כרת
2045150	4Q82	Amos	7	17	GLH[	GLH	GLH			qal	infa	NA		NA	verb					rrr	nnn	גלה
2046420	4Q82	Micah	2	4	CDD[	CDWD	CDWD			qal	infa	NA		NA	verb					rrrr	nnnn	שדוד
2045018	4Q82	Amos	7	11	GLH[	GLH	GLH			qal	infa	NA		NA	verb					rrr	nnn	גלה
2050176	4Q85	Psalms	49	8	PDH[	PDH	PDH			qal	infa	NA		NA	verb					rrr	nnn	פדה
2053944	4Q98	Psalms	35	16	XRQ[	XRQ	XRQ			qal	infa	NA		NA	verb					rrr	nnn	חרק
2054855	4Q99	Job	37	2	CM<[	CM<	CM<			qal	infa	NA		NA	verb					nnn	nnn	שמע
