tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
492668	SP	Numbers	24	10	>JB[	>JBJ	>JB				ptca	pl		unknown	verb		J			nnnn	nnnn	איבי
489278	SP	Numbers	19	16	MWT[	MT	MT				ptca	sg		unknown	verb				B	nn	nn	מת
519249	SP	Deuteronomy	32	31	>JB[	>JBJNW	>JB				ptca	pl		unknown	verb	NW	J		W	nnnnnn	nnnnnn	איבינו
442074	SP	Exodus	12	49	GWR[	GR	GR				ptca	sg		unknown	verb				H	nn	nn	גר
513948	SP	Deuteronomy	24	7	GNB[	GNB	GNB				ptca	sg		unknown	verb					nnn	nnn	גנב
439435	SP	Exodus	9	19	CLX[	CLX	CLX				ptca	sg		unknown	verb					nnn	nnn	שלח
439495	SP	Exodus	9	19	SLL[	MSTWLL	TWLL				ptca	sg		unknown	verb					nnnnnn	nnnnnn	מסתולל
439502	SP	Exodus	9	19	MVR[	MMVJR	MVJR				ptca	sg		unknown	verb					nnnnn	nnnnn	ממטיר
450548	SP	Exodus	27	9	CZR[	MCZR	CZR				ptcp	sg		unknown	verb					nnnn	nnnn	משזר
499440	SP	Numbers	35	12	G>L[	G>L	G>L				ptca	sg		unknown	verb				M	nnn	nnn	גאל
499445	SP	Numbers	35	12	RYX[	RYX	RYX				ptca	sg		unknown	verb				H	nnn	nnn	רצח
416960	SP	Genesis	24	15	JY>[	JY>T	JY>				ptca	sg		unknown	verb		T			nnnn	nnnn	יצאת
483509	SP	Numbers	10	35	>JB[	>JBJK	>JB				ptca	pl		unknown	verb	K	J			nnnnn	nnnnn	איביך
483512	SP	Numbers	10	35	FN>[	MFN>JK	FN>				ptca	pl		unknown	verb	K	J			nnnnnn	nnnnnn	משנאיך
477223	SP	Numbers	2	11	PQD[	PQDJW	PQD				ptcp	pl		unknown	verb	W	J		W	nnnnn	nnnnn	פקדיו
425923	SP	Genesis	37	9	XWH[	MCTXWJM	XW				ptca	pl		unknown	verb		JM			nnnnnnn	nnnnnnn	משתחוים
450052	SP	Exodus	26	28	BRX[	MBRJX	BRJX				ptca	sg		unknown	verb					nnnnn	nnnnn	מבריח
492741	SP	Numbers	24	14	HLK[	HLK	HLK				ptca	sg		unknown	verb					nnn	nnn	הלך
459795	SP	Leviticus	2	3	JTR[	NWTRT	WTR				ptca	sg		unknown	verb		T		WH	nnnnn	nnnnn	נותרת
452657	SP	Exodus	30	14	<BR[	<BR	<BR				ptca	sg		unknown	verb				H	nnn	nnn	עבר
452660	SP	Exodus	30	14	PQD[	PQDJM	PQD				ptcp	pl		unknown	verb		JM		H	nnnnn	nnnnn	פקדים
449175	SP	Exodus	25	20	SKK[	SKKJM	SKK				ptca	pl		unknown	verb		JM			nnnnn	nnnnn	סככים
502665	SP	Deuteronomy	4	6	BJN[	NBWN	BWN				ptca	sg		unknown	verb				W	nnnn	nnnn	נבון
428368	SP	Genesis	41	24	NGD[	MGJD	GJD				ptca	sg		unknown	verb					nnnn	nnnn	מגיד
475219	SP	Leviticus	26	25	NQM[	NQMT	NQM				ptca	sg		unknown	verb		T			nnnn	nnnn	נקמת
475235	SP	Leviticus	26	25	>JB[	>WJB	>WJB				ptca	sg		unknown	verb					nnnn	nnnn	אויב
490586	SP	Numbers	21	13	JY>[	JWY>	JWY>				ptca	sg		unknown	verb				H	nnnn	nnnn	יוצא
511740	SP	Deuteronomy	19	17	CPV[	CPVJM	CPV				ptca	pl		unknown	verb		JM		WH	nnnnn	nnnnn	שפטים
418740	SP	Genesis	26	11	NG<[	NG<	NG<				ptca	sg		unknown	verb				H	nnn	nnn	נגע
476671	SP	Numbers	1	30	JY>[	JY>	JY>				ptca	sg		unknown	verb					nnn	nnn	יצא
496842	SP	Numbers	31	30	>XZ[	>XZ	>XZ				ptcp	sg		unknown	verb					nnn	nnn	אחז
496870	SP	Numbers	31	30	CMR[	CMRJ	CMR				ptca	pl		unknown	verb		J			nnnn	nnnn	שמרי
447792	SP	Exodus	22	19	ZBX[	ZBX	ZBX				ptca	sg		unknown	verb					nnn	nnn	זבח
517112	SP	Deuteronomy	29	10	XVB[	XVB	XVB				ptca	sg		unknown	verb				M	nnn	nnn	חטב
517116	SP	Deuteronomy	29	10	C>B[	C>B	C>B				ptca	sg		unknown	verb					nnn	nnn	שאב
511096	SP	Deuteronomy	18	9	BW>[	B>	B>				ptca	sg		unknown	verb					nn	nn	בא
511103	SP	Deuteronomy	18	9	NTN[	NTN	NTN				ptca	sg		unknown	verb					nnn	nnn	נתן
516012	SP	Deuteronomy	28	26	XRD[	MXRJD	XRJD				ptca	sg		unknown	verb					nnnnn	nnnnn	מחריד
481147	SP	Numbers	7	38	ML>[	ML>H	ML>				ptca	sg		unknown	verb		H			nnnn	nnnn	מלאה
468796	SP	Leviticus	15	27	NG<[	NG<	NG<				ptca	sg		unknown	verb				H	nnn	nnn	נגע
486422	SP	Numbers	15	9	BLL[	BLWL	BLWL				ptcp	sg		unknown	verb					nnnn	nnnn	בלול
518091	SP	Deuteronomy	31	3	<BR[	<BR	<BR				ptca	sg		unknown	verb				H	nnn	nnn	עבר
518110	SP	Deuteronomy	31	3	<BR[	<BR	<BR				ptca	sg		unknown	verb				H	nnn	nnn	עבר
477270	SP	Numbers	2	15	PQD[	PQDJW	PQD				ptcp	pl		unknown	verb	W	J		W	nnnnn	nnnnn	פקדיו
462238	SP	Leviticus	7	3	KSH[	MKSH	KSH				ptca	sg		unknown	verb				H	nnnn	nnnn	מכסה
467463	SP	Leviticus	14	19	VHR[	MVHR	VHR				ptca	sg		unknown	verb				H	nnnn	nnnn	מטהר
479185	SP	Numbers	4	37	PQD[	PQDJ	PQD				ptcp	pl		unknown	verb		J			nnnn	nnnn	פקדי
479191	SP	Numbers	4	37	<BD[	<BD	<BD				ptca	sg		unknown	verb				H	nnn	nnn	עבד
425986	SP	Genesis	37	13	R<H[	R<JM	R<				ptca	pl		unknown	verb		JM			nnnn	nnnn	רעים
423392	SP	Genesis	32	19	CLX[	CLWXH	CLWX				ptcp	sg		unknown	verb		H			nnnnn	nnnnn	שלוחה
450114	SP	Exodus	26	32	YPH=[	MYPJM	YP				ptcp	pl		unknown	verb		JM			nnnnn	nnnnn	מצפים
506867	SP	Deuteronomy	10	12	C>L[	C>L	C>L				ptca	sg		unknown	verb					nnn	nnn	שאל
494159	SP	Numbers	26	64	PQD[	PQDJ	PQD				ptcp	pl		unknown	verb		J		M	nnnn	nnnn	פקדי
443354	SP	Exodus	15	7	QWM[	QMJK	QM				ptca	pl		unknown	verb	K	J			nnnn	nnnn	קמיך
405606	SP	Genesis	1	11	ZR<[	MZRJ<	ZRJ<				ptca	sg		unknown	verb					nnnnn	nnnnn	מזריע
405611	SP	Genesis	1	11	<FH[	<FH	<FH				ptca	sg		unknown	verb					nnn	nnn	עשה
444932	SP	Exodus	18	8	XTN[	XTNW	XTN				ptca	sg		unknown	verb	W			L	nnnn	nnnn	חתנו
407288	SP	Genesis	4	12	NW<[	N<	N<				ptca	sg		unknown	verb					nn	nn	נע
407290	SP	Genesis	4	12	NWD[	ND	ND				ptca	sg		unknown	verb				W	nn	nn	נד
428447	SP	Genesis	41	28	<FH[	<FH	<FH				ptca	sg		unknown	verb					nnn	nnn	עשה
505124	SP	Deuteronomy	7	11	YWH[	MYWK	YW				ptca	sg		unknown	verb	K				nnnn	nnnn	מצוך
476736	SP	Numbers	1	34	JY>[	JY>	JY>				ptca	sg		unknown	verb					nnn	nnn	יצא
457584	SP	Exodus	38	18	RQM[	RQM	RQM				ptca	sg		unknown	verb					nnn	nnn	רקם
457593	SP	Exodus	38	18	CZR[	MCZR	CZR				ptcp	sg		unknown	verb					nnnn	nnnn	משזר
450673	SP	Exodus	27	17	XCQ[	MXCQJM	XCQ				ptcp	pl		unknown	verb		JM			nnnnnn	nnnnnn	מחשקים
517190	SP	Deuteronomy	29	14	<MD[	<MD	<MD				ptca	sg		unknown	verb					nnn	nnn	עמד
510397	SP	Deuteronomy	16	20	NTN[	NTN	NTN				ptca	sg		unknown	verb					nnn	nnn	נתן
453770	SP	Exodus	32	16	XRT[	XRWT	XRWT				ptcp	sg		unknown	verb					nnnn	nnnn	חרות
440284	SP	Exodus	10	11	BQC[	MBQCJM	BQC				ptca	pl		unknown	verb		JM			nnnnnn	nnnnnn	מבקשים
477603	SP	Numbers	3	3	MCX[	MCXJM	MCX				ptcp	pl		unknown	verb		JM		H	nnnnn	nnnnn	משחים
498131	SP	Numbers	33	3	RWM[	RMH	RM				ptca	sg		unknown	verb		H			nnn	nnn	רמה
494819	SP	Numbers	28	9	BLL[	BLWLH	BLWL				ptcp	sg		unknown	verb		H			nnnnn	nnnnn	בלולה
438949	SP	Exodus	9	3	HJH[	HJH	HJ				ptca	sg		unknown	verb		H			nnn	nnn	היה
457975	SP	Exodus	39	3	XCB[	XCB	XCB				ptca	sg		unknown	verb					nnn	nnn	חשב
479251	SP	Numbers	4	41	PQD[	PQDJ	PQD				ptcp	pl		unknown	verb		J			nnnn	nnnn	פקדי
479257	SP	Numbers	4	41	<BD[	<BD	<BD				ptca	sg		unknown	verb				H	nnn	nnn	עבד
426061	SP	Genesis	37	17	>MR[	>MRJM	>MR				ptca	pl		unknown	verb		JM			nnnnn	nnnnn	אמרים
