tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2083801	11Q5	Psalms	129	3	>RK[	H>RJKW	>RJK			hif	perf	pl		p3	verb					rrrrrr	nnnnnn	האריכו
2086362	11Q5	Psalms	142	5	NBV[	>BJVH	BJV			hif	impf	sg		p1	verb					nnnnn	nnnnn	אביטה
2086369	11Q5	Psalms	142	5	NKR[	MKJR	KJR			hif	ptca	sg	m	NA	verb					nnnn	nnnn	מכיר
2086504	11Q5	Psalms	143	7	STR[	TSTR	STR			hif	impf	sg	m	p2	verb					nnnn	nnnn	תסתר
2083163	11Q5	Psalms	105	40	FB<[	JFBJ<M	FBJ<			hif	impf	sg	m	p3	verb	M				rrrrrr	nnnnnn	ישביעם
2082246	11Q5	Psalms	101	5	YMT[	>YMJT	YMJT			hif	impf	sg		p1	verb					rrrrr	nnnnn	אצמית
2084039	11Q5	Psalms	132	17	YMX[	>YMJX	YMJX			hif	impf	sg		p1	verb					nnnnn	nnnnn	אצמיח
2083651	11Q5	Psalms	125	5	HLK[	JWLJKM	WLJK			hif	impf	sg	m	p3	verb	M				rrrrrr	nnnnnn	יוליכם
2086345	11Q5	Psalms	144	7	NYL[	HYJLNJ	YJL			hif	impv	sg	m	NA	verb	NJ			W	nnnnrr	nnnnnn	הצילני
2083040	11Q5	Psalms	105	28	XCK[	JXCK	XCK			hif	wayq	sg	m	p3	verb				W	rrrr	nnnn	יחשך
2086052	11Q5	Psalms	138	3	RHB[	TRHJBNJ	RHJB			hif	impf	sg	m	p2	verb	NJ				nnnnnnn	nnnnnnn	תרהיבני
2085384	11Q5	Psalms	136	16	HLK[	MWLJK	WLJK			hif	ptca	sg	m	NA	verb				L	nnnnn	nnnnn	מוליך
2082473	11Q5	Psalms	109	21	NYL[	HYJLNJ	YJL			hif	impv	sg	m	NA	verb	NJ				rrrrrr	nnnnnn	הצילני
2083303	11Q5	Psalms	148	6	<MD[	J<MJDM	<MJD			hif	wayq	sg	m	p3	verb	M			W	nnnnnn	nnnnnn	יעמידם
2084130	11Q5	Psalms	119	18	NBV[	>BJVH	BJV			hif	impf	sg		p1	verb				W	nnnnn	nnnnn	אביטה
2085590	11Q5	Psalms	145	7	NB<[	JBJ<W	BJ<			hif	impf	pl	m	p3	verb					rrrrr	nnnnn	יביעו
